y,gender,senior,married,time,phone,lines,internet,security,backup,protection,support,TV,movies,billing,payment,chargesMonth,chargesTotal
1,Male,0,No,49,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Bank transfer (automatic),66.15,3199
1,Female,0,No,6,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,No,Credit card (automatic),50.95,307.6
2,Male,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.75,19.75
1,Male,0,No,19,Yes,No,DSL,No,No,No,No,No,No,Yes,Bank transfer (automatic),45,865.85
1,Female,0,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,19.5,178.85
1,Female,0,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),99,7061.65
2,Female,0,Yes,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,89.45,853.1
2,Male,0,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.35,451.1
1,Male,0,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.75,1185.95
1,Male,0,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Mailed check,56.2,1567.55
1,Male,0,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.05,951.55
1,Male,1,Yes,54,No,No phone service,DSL,No,No,No,No,No,No,Yes,Bank transfer (automatic),24.95,1364.75
1,Male,0,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,Electronic check,97.1,4016.75
2,Female,1,Yes,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,93.55,2264.05
1,Female,0,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,24.7,780.2
1,Female,0,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.8,272.95
1,Female,0,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.65,270.6
1,Male,0,No,25,No,No phone service,DSL,Yes,No,No,No,Yes,No,Yes,Credit card (automatic),40.65,970.55
1,Male,0,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),97.65,6743.55
2,Male,0,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Mailed check,79.45,2587.7
1,Male,0,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,94.35,3921.3
1,Male,0,Yes,14,Yes,No,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),48.8,664.4
1,Female,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.5,20.5
1,Female,0,Yes,6,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,45.5,285.2
1,Male,0,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Mailed check,75.9,866.4
1,Male,0,Yes,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Electronic check,60.35,4138.7
1,Female,0,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,96.8,1743.05
1,Male,0,Yes,59,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),76.75,4541.9
2,Male,0,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.4,1081.45
1,Male,0,Yes,19,Yes,Yes,DSL,No,No,No,No,No,No,No,Credit card (automatic),50.1,910.45
1,Male,0,No,62,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Bank transfer (automatic),43.7,2618.3
1,Male,1,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card (automatic),86.05,3865.6
2,Male,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.55,20.55
1,Female,0,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,Electronic check,100.45,3096.9
2,Male,1,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,79.25,793.55
1,Male,0,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,Mailed check,69.6,1394.55
1,Male,0,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Bank transfer (automatic),65.7,4378.9
1,Female,0,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),73.85,3581.4
1,Female,0,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.4,1090.65
2,Female,0,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Credit card (automatic),85.55,85.55
1,Female,0,Yes,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),59.7,4122.65
1,Female,0,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.55,1079.65
1,Female,0,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,No,Credit card (automatic),94.1,6302.8
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.2,69.2
1,Male,0,Yes,40,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Mailed check,50.15,2058.5
1,Female,0,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.7,1051.9
1,Female,0,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Electronic check,55.45,55.45
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,70.85,70.85
1,Female,0,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.85,450.65
2,Female,0,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.15,3615.6
1,Female,1,Yes,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),72.6,4084.35
1,Male,0,No,8,No,No phone service,DSL,Yes,No,No,No,No,No,No,Mailed check,29.35,216.45
1,Male,0,Yes,44,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,Bank transfer (automatic),59.85,2603.95
1,Female,0,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),69.2,477.55
1,Female,0,No,41,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Yes,Electronic check,68.6,2877.05
1,Male,0,No,8,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Credit card (automatic),54.75,438.05
1,Female,0,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,24.3,132.25
1,Female,0,Yes,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Bank transfer (automatic),60.85,2003.6
1,Male,1,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Mailed check,54,1055.9
1,Female,0,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,68.95,351.5
1,Female,0,No,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,83.55,1329.15
1,Female,0,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Electronic check,29.85,29.85
1,Male,0,No,4,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,44.55,220.75
1,Male,0,Yes,70,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No,Mailed check,67.95,4664.15
1,Female,0,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),24.25,1732.95
2,Male,0,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,Mailed check,94.85,890.6
1,Male,0,No,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,No,Bank transfer (automatic),65.75,1111.2
2,Male,0,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),75.9,357.75
1,Male,1,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),109.7,7898.45
1,Male,0,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,89.4,6376.55
2,Female,1,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,No,Electronic check,70.75,154.85
